title,type,netflix_original
The Mole Agent,TV Show,True
Exploding Kittens,TV Show,True
Gears of War,TV Show,True
Stranger Things,TV Show,True
Devil May Cry,TV Show,True
Moonrise,TV Show,True
Time Patrol Bon,TV Show,True
Tomb Raider: The Legend of Lara Croft,TV Show,True
Army of the Dead: Lost Vegas,TV Show,True
Beat & Motion,TV Show,True
Lady Napoleon,TV Show,True
Stranger Things: Tokyo,TV Show,True
Terminator: The Anime Series,TV Show,True
Tom Clancy's Splinter Cell,TV Show,True
Twilight of the Gods,TV Show,True
BRZRKR,TV Show,True
Far Cry,TV Show,True
Grimms' Fairy Tales,TV Show,True
Astérix,TV Show,True
Dee & Friends in Oz,TV Show,True
Hot Wheels Let's Race,TV Show,True
Jurassic World: Chaos Theory,TV Show,True
Mighty MonsterWheelies,TV Show,True
Bad Dinosaurs,TV Show,True
Horton Hears a Who!,TV Show,True
Jentry Chau vs. The Underworld,TV Show,True
Mermaid Magic,TV Show,True
"One Fish, Two Fish, Red Fish, Blue Fish",TV Show,True
The Seven Bears,TV Show,True
Rebel Moon,TV Show,True
The Witcher,TV Show,True
Wacky Wednesday,TV Show,True
Wereworld,TV Show,True
La Cage,TV Show,True
Anthracite,TV Show,True
Fiasco,TV Show,True
Furies,TV Show,True
Cassandra,TV Show,True
Hello,TV Show,True
Plötzlich Kanzlerin,TV Show,True
Achtsam Morden,TV Show,True
Criminel,TV Show,True
Crooks,TV Show,True
The Signal,TV Show,True
Heeramandi,TV Show,True
Killer Soup,TV Show,True
Brigands: The Quest for Gold,TV Show,True
Inganno,TV Show,True
The Life You Wanted,TV Show,True
The Leopard,TV Show,True
Supersex,TV Show,True
A.C.A.B. La serie,TV Show,True
Adorazione,TV Show,True
Il Mostro,TV Show,True
Lotto Gang,TV Show,True
Nemesis,TV Show,True
Sara,TV Show,True
Storia della mia famiglia,TV Show,True
The Queen of Villains,TV Show,True
House of Ninjas,TV Show,True
Beyond Goodbye,TV Show,True
Hong Rang,TV Show,True
Aema,TV Show,True
Alone in the Woods,TV Show,True
The Bequeathed,TV Show,True
Chicken Nugget,TV Show,True
Goodbye Earth,TV Show,True
Karma,TV Show,True
Mercy for None,TV Show,True
Murder DIEary,TV Show,True
Parasyte: The Grey,TV Show,True
Queen of the Scene,TV Show,True
Trigger,TV Show,True
The Trunk,TV Show,True
The Whirlwind,TV Show,True
Agent from Above,TV Show,True
Million-follower Detective,TV Show,True
The Nipple Talk,TV Show,True
Cindy la Regia,TV Show,True
Accidente,TV Show,True
Bandidos,TV Show,True
Bienvenidos a la familia,TV Show,True
El caso Asunta,TV Show,True
Para siempre,TV Show,True
1992,TV Show,True
Asalto al Banco Central,TV Show,True
Atrapados,TV Show,True
Clanes,TV Show,True
El eternauta,TV Show,True
Envidiosa,TV Show,True
La última noche en Tremore Beach,TV Show,True
Mano de hierro,TV Show,True
Raising Voices,TV Show,True
One Hundred Years of Solitude,TV Show,True
Respira,TV Show,True
El tiempo de las moscas,TV Show,True
Tuya,TV Show,True
Asaf,TV Show,True
Kimler Geldi Kimler Geçti,TV Show,True
The Town,TV Show,True
Billionaire Island,TV Show,True
Deliver Me,TV Show,True
Midsummer Night,TV Show,True
Bros,TV Show,True
Comedy Chaos,TV Show,True
Detective Forst,TV Show,True
Jo Bachay Hain Sang Samait Lo,TV Show,True
Lovzone,TV Show,True
Nightmares and Daydreams,TV Show,True
Senna,TV Show,True
Subteran,TV Show,True
The Helicopter Heist,TV Show,True
Our Living World,TV Show,True
Our Oceans,TV Show,True
Our Water World,TV Show,True
Alexander the Great,TV Show,True
All American Nightmare,TV Show,True
Einsteinand the Bomb,TV Show,True
Fatherhood with My Father,TV Show,True
Fertility Fraudster,TV Show,True
HuntingGary Glitter,TV Show,True
Inside the World's Toughest Forces,TV Show,True
Raël: The Last Prophet,TV Show,True
The Ultimatum: South Africa,TV Show,True
Love Is Blind: UK,TV Show,True
Rhythm + Flow Italy,TV Show,True
Love Is Blind: Argentina,TV Show,True
Love Is Blind: Germany,TV Show,True
Love Is Blind: Sweden,TV Show,True
Nayanthara: Beyond the Fairytale,TV Show,True
Teasing Master Takagi-san,TV Show,True
Winter Palace,TV Show,True
Eddie's Lil' Homies,TV Show,True
Lockerbie,TV Show,True
Kimi ni Todoke,TV Show,True
Star Trek: Prodigy,TV Show,True
Girls5eva,TV Show,True
My Lover My Killer,TV Show,True
Love Is Blind Brazil: After the Altar,TV Show,True
The 50th Law,TV Show,True
Agency,TV Show,True
Arbor Hall,TV Show,True
Astronaut Chicks,TV Show,True
The Atomic Bazaar,TV Show,True
Black Rabbit,TV Show,True
Blackout,TV Show,True
The Breakthrough,TV Show,True
Coming Undone,TV Show,True
A Concise Chinese-English Dictionary for Lovers,TV Show,True
Confessions on the 7:45,TV Show,True
The Craving,TV Show,True
Death Note,TV Show,True
Dumped,TV Show,True
East of Eden,TV Show,True
El cuco de cristal,TV Show,True
Free Food for Millionaires,TV Show,True
Go Ahead Brother,TV Show,True
The Hated,TV Show,True
The Henna Artist,TV Show,True
Heweliusz,TV Show,True
Horizon,TV Show,True
"I, Chihuahua!",TV Show,True
Little Sky,TV Show,True
The Magic Order,TV Show,True
Mind MGMT,TV Show,True
Nice Jewish Girls,TV Show,True
Night Club,TV Show,True
Nocterra,TV Show,True
One Day in December,TV Show,True
Orbital,TV Show,True
The Overstory,TV Show,True
Portrait of a Thief,TV Show,True
Princess of South Beach,TV Show,True
Ransom Canyon,TV Show,True
Raybearer,TV Show,True
Revenge Inc.,TV Show,True
Shadecraft,TV Show,True
Something Is Killing the Children,TV Show,True
Stronger,TV Show,True
Supercrooks,TV Show,True
The Talisman,TV Show,True
Ghostbusters,TV Show,True
Martin the Warrior,TV Show,True
Maya and the Three,TV Show,True
Pokémon,TV Show,True
Stranger Things,TV Show,True
Washington Post,TV Show,True
Yasuke,TV Show,True
House of Cards,TV Show,True
Orange Is the New Black,TV Show,True
Marco Polo,TV Show,True
Bloodline,TV Show,True
Daredevil,TV Show,True
Sense8,TV Show,True
Narcos,TV Show,True
Jessica Jones,TV Show,True
The Get Down,TV Show,True
Luke Cage,TV Show,True
Gilmore Girls: A Year in the Life,TV Show,True
The OA,TV Show,True
Iron Fist,TV Show,True
13 Reasons Why,TV Show,True
Gypsy,TV Show,True
Ozark,TV Show,True
The Defenders,TV Show,True
Mindhunter,TV Show,True
The Punisher,TV Show,True
Godless,TV Show,True
Altered Carbon,TV Show,True
Seven Seconds,TV Show,True
The Innocents,TV Show,True
The Haunting of Hill House,TV Show,True
Chilling Adventures of Sabrina,TV Show,True
Narcos: Mexico,TV Show,True
